ID,insect_family,insect_taxon,plant_family,plant_taxon,plant_organ,geographic_location,latitude,longitude,insect_lifestage_when_on_host,insect_taxon_canonical_name,insect_taxon_rank,insect_taxon_hierarchy,name_matched,insect_family_canonical_name
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Trichogrammatidae,Trichogramma sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,egg,"Trichogramma Westwood, 1833",GENUS,Animalia > Arthropoda > Insecta > Hymenoptera > Trichogrammatidae > Trichogramma,Manihot esculenta,Euphorbiaceae
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Figitidae,Kleidotoma sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,larva,"Kleidotoma Westwood, 1833",GENUS,Animalia > Arthropoda > Insecta > Hymenoptera > Figitidae > Kleidotoma,Manihot esculenta,Euphorbiaceae
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Encyrtidae,Copidosoma sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,larva,"Copidosoma Ratzeburg, 1844",GENUS,Animalia > Arthropoda > Insecta > Hymenoptera > Encyrtidae > Copidosoma,Manihot esculenta,Euphorbiaceae
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Encyrtidae,Ooencyrtus sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,adult,"Ooencyrtus Ashmead, 1900",GENUS,Animalia > Arthropoda > Insecta > Hymenoptera > Encyrtidae > Ooencyrtus,Manihot esculenta,Euphorbiaceae
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Formicidae,Anoplolepis gracilipes,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,adult,"Anoplolepis gracilipes (Smith, 1857)",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Formicidae > Anoplolepis,Manihot esculenta,Euphorbiaceae
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Formicidae,Paratrechina longicornis,Euphorbiaceae,Manihot esculenta,leaf,"Karangasem, Yogyakarta, Indonesia",-8.011556,110.743194,adult,"Paratrechina longicornis (Latreille, 1802)",SPECIES,Animalia > Arthropoda > Insecta > Hymenoptera > Formicidae > Paratrechina,Manihot esculenta,Euphorbiaceae
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Formicidae,Nylanderia sp.,Euphorbiaceae,Manihot esculenta,leaf,"Kenteng, Yogyakarta, Indonesia",-7.859,110.751,adult,"Nylanderia Emery, 1906",GENUS,Animalia > Arthropoda > Insecta > Hymenoptera > Formicidae > Nylanderia,Manihot esculenta,Euphorbiaceae
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Coccinellidae,Menochilus sexmaculatus,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,adult,Cheilomenes sexmaculata,species,Animalia > Arthropoda > Hexapoda > Insecta > Pterygota > Coleoptera > Polyphaga > Cucujiformia > Coccinelloidea > Coccinellidae > Coccinellinae > Coccinellini > Cheilomenes,Manihot esculenta,Euphorbiaceae
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Staphylinidae,Lathrobium sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,adult,Lathrobium sparsellum,species,Animalia > Arthropoda > Hexapoda > Insecta > Pterygota > Coleoptera > Polyphaga > Staphyliniformia > Staphylinoidea > Staphylinidae > Paederinae > Lathrobiini > Lathrobiina > Lathrobium,Manihot esculenta,Euphorbiaceae
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,eggs,"Dendroctonus brevicomis LeConte, 1876",SPECIES,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus,Pinus ponderosa,Pinaceae
