pdf_file,insect_family,insect_taxon,plant_family,plant_taxon,plant_organ,geographic_location,latitude,longitude,insect_lifestage_when_on_host,canonical_name,insect_order,insect_family.1,API,order,family,Name_matched,Name_matched_accepted_family,value,status,review_comment,corrected_value
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Trichogrammatidae,Trichogramma sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,egg,"Trichogramma Westwood, 1833",Animalia > Arthropoda > Insecta > Hymenoptera > Trichogrammatidae > Trichogramma,Trichogrammatidae,GBIF,Hymenoptera,Trichogrammatidae,Manihot esculenta,Euphorbiaceae,,,,
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Figitidae,Kleidotoma sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,larva,"Kleidotoma Westwood, 1833",Animalia > Arthropoda > Insecta > Hymenoptera > Figitidae > Kleidotoma,Figitidae,GBIF,Hymenoptera,Figitidae,Manihot esculenta,Euphorbiaceae,,,,
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Encyrtidae,Copidosoma sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,larva,"Copidosoma Ratzeburg, 1844",Animalia > Arthropoda > Insecta > Hymenoptera > Encyrtidae > Copidosoma,Encyrtidae,GBIF,Hymenoptera,Encyrtidae,Manihot esculenta,Euphorbiaceae,,,,
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Encyrtidae,Ooencyrtus sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,adult,Ooencyrtus sphingidarum,Animalia > Arthropoda > Insecta > Hymenoptera > Encyrtidae > Ooencyrtus > Ooencyrtus sphingidarum,Encyrtidae,iNaturalist,Hymenoptera,Encyrtidae,Manihot esculenta,Euphorbiaceae,,,,
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Formicidae,Anoplolepis gracilipes,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,adult,Anoplolepis gracilipes,Animalia > Arthropoda > Insecta > Hymenoptera > Formicidae > Anoplolepis > Anoplolepis gracilipes,Formicidae,iNaturalist,Hymenoptera,Formicidae,Manihot esculenta,Euphorbiaceae,,,,
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Formicidae,Paratrechina longicornis,Euphorbiaceae,Manihot esculenta,leaf,"Karangasem, Yogyakarta, Indonesia",-8.011556,110.743194,adult,Paratrechina longicornis,Animalia > Arthropoda > Insecta > Hymenoptera > Formicidae > Paratrechina > Paratrechina longicornis,Formicidae,iNaturalist,Hymenoptera,Formicidae,Manihot esculenta,Euphorbiaceae,,,,
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Formicidae,Nylanderia sp.,Euphorbiaceae,Manihot esculenta,leaf,"Kenteng, Yogyakarta, Indonesia",-7.859,110.751,adult,"Nylanderia Emery, 1906",Animalia > Arthropoda > Insecta > Hymenoptera > Formicidae > Nylanderia,Formicidae,GBIF,Hymenoptera,Formicidae,Manihot esculenta,Euphorbiaceae,,,,
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Coccinellidae,Menochilus sexmaculatus,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,adult,Cheilomenes sexmaculata,Animalia > Arthropoda > Insecta > Coleoptera > Coccinellidae > Cheilomenes > Cheilomenes sexmaculata,Coccinellidae,iNaturalist,Coleoptera,Coccinellidae,Manihot esculenta,Euphorbiaceae,,,,
0573_springer_5e9881e6_7d5d_4760_ab88_c4a3a5dae5ab.pdf,Staphylinidae,Lathrobium sp.,Euphorbiaceae,Manihot esculenta,leaf,"Bedoyo, Yogyakarta, Indonesia",-8.014194,110.734194,adult,Lathrobium sparsellum,Animalia > Arthropoda > Insecta > Coleoptera > Staphylinidae > Lathrobium > Lathrobium sparsellum,Staphylinidae,iNaturalist,Coleoptera,Staphylinidae,Manihot esculenta,Euphorbiaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,eggs,Dendroctonus brevicomis,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus > Dendroctonus brevicomis,Curculionidae,iNaturalist,Coleoptera,Curculionidae,Pinus ponderosa,Pinaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,early larval stages,Dendroctonus brevicomis,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus > Dendroctonus brevicomis,Curculionidae,iNaturalist,Coleoptera,Curculionidae,Pinus ponderosa,Pinaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,Dendroctonus brevicomis,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus > Dendroctonus brevicomis,Curculionidae,iNaturalist,Coleoptera,Curculionidae,Pinus ponderosa,Pinaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,pupa,Dendroctonus brevicomis,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus > Dendroctonus brevicomis,Curculionidae,iNaturalist,Coleoptera,Curculionidae,Pinus ponderosa,Pinaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Scolytinae,Dendroctonus brevicomis,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,adult,Dendroctonus brevicomis,Animalia > Arthropoda > Insecta > Coleoptera > Curculionidae > Dendroctonus > Dendroctonus brevicomis,Curculionidae,iNaturalist,Coleoptera,Curculionidae,Pinus ponderosa,Pinaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Cleridae,Enoclerus lecontei,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,Enoclerus lecontei,Animalia > Arthropoda > Insecta > Coleoptera > Cleridae > Enoclerus > Enoclerus lecontei,Cleridae,iNaturalist,Coleoptera,Cleridae,Pinus ponderosa,Pinaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Trogiidae,Ternnochila vivirescens var. chlorida,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,,,,,,,Pinus ponderosa,Pinaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Colydiidae,Aulonium longipes,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,"Aulonium Erichson, 1845",Animalia > Arthropoda > Insecta > Coleoptera > Zopheridae > Aulonium,Zopheridae,GBIF,Coleoptera,Zopheridae,Pinus ponderosa,Pinaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Cleridae,Enoclerus sphegeus,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,Enoclerus sphegeus,Animalia > Arthropoda > Insecta > Coleoptera > Cleridae > Enoclerus > Enoclerus sphegeus,Cleridae,iNaturalist,Coleoptera,Cleridae,Pinus ponderosa,Pinaceae,,,,
0576_etc_e32deb29_06c6_46f1_a157_6e89546d7c4a.pdf,Roptroceridae,Roptrocerus xylophagorum,Pinaceae,Pinus ponderosa,bark,Sierra foothills,38.5,-120.5,larva,Roptrocerus xylophagorum,Animalia > Arthropoda > Insecta > Hymenoptera > Pteromalidae > Roptrocerus > Roptrocerus xylophagorum,Pteromalidae,iNaturalist,Hymenoptera,Pteromalidae,Pinus ponderosa,Pinaceae,,,,
